,Año,Trimestre,Provincia,Mbps (Media de bajada)
264,2020,1,Buenos Aires,"45,18"
265,2020,1,Capital Federal,"58,71"
266,2020,1,Catamarca,"29,13"
267,2020,1,Chaco,"25,94"
268,2020,1,Chubut,"7,12"
269,2020,1,Córdoba,"29,39"
270,2020,1,Corrientes,"20,54"
271,2020,1,Entre Ríos,"19,03"
272,2020,1,Formosa,"15,7"
273,2020,1,Jujuy,"14,14"
274,2020,1,La Pampa,"7,29"
275,2020,1,La Rioja,"7,96"
276,2020,1,Mendoza,"8,44"
277,2020,1,Misiones,"22,15"
278,2020,1,Neuquén,"27,77"
279,2020,1,Río Negro,"19,06"
280,2020,1,Salta,"21,43"
281,2020,1,San Juan,"6,04"
282,2020,1,San Luis,"20,99"
283,2020,1,Santa Cruz,"6,42"
284,2020,1,Santa Fe,"22,42"
285,2020,1,Santiago Del Estero,"10,0"
286,2020,1,Tierra Del Fuego,"7,41"
287,2020,1,Tucumán,"32,25"
288,2019,4,Buenos Aires,"30,77"
289,2019,4,Capital Federal,"44,2"
290,2019,4,Catamarca,"24,88"
291,2019,4,Chaco,"23,37"
292,2019,4,Chubut,"6,99"
293,2019,4,Córdoba,"26,16"
294,2019,4,Corrientes,"19,26"
295,2019,4,Entre Ríos,"17,01"
296,2019,4,Formosa,"14,53"
297,2019,4,Jujuy,"12,96"
298,2019,4,La Pampa,"6,53"
299,2019,4,La Rioja,"8,0"
300,2019,4,Mendoza,"7,79"
301,2019,4,Misiones,"20,32"
302,2019,4,Neuquén,"26,02"
303,2019,4,Río Negro,"17,18"
304,2019,4,Salta,"19,08"
305,2019,4,San Juan,"6,04"
306,2019,4,San Luis,"20,69"
307,2019,4,Santa Cruz,"5,21"
308,2019,4,Santa Fe,"20,55"
309,2019,4,Santiago Del Estero,"9,79"
310,2019,4,Tierra Del Fuego,"7,27"
311,2019,4,Tucumán,"29,87"
312,2019,3,Buenos Aires,"25,68"
313,2019,3,Capital Federal,"38,71"
314,2019,3,Catamarca,"9,29"
315,2019,3,Chaco,"19,99"
316,2019,3,Chubut,"6,97"
317,2019,3,Córdoba,"23,19"
318,2019,3,Corrientes,"16,7"
319,2019,3,Entre Ríos,"14,7"
320,2019,3,Formosa,"13,22"
321,2019,3,Jujuy,"11,97"
322,2019,3,La Pampa,"5,72"
323,2019,3,La Rioja,"8,0"
324,2019,3,Mendoza,"6,11"
325,2019,3,Misiones,"17,93"
326,2019,3,Neuquén,"23,75"
327,2019,3,Río Negro,"15,98"
328,2019,3,Salta,"14,75"
329,2019,3,San Juan,"6,04"
330,2019,3,San Luis,"19,74"
331,2019,3,Santa Cruz,"5,02"
332,2019,3,Santa Fe,"18,17"
333,2019,3,Santiago Del Estero,"9,39"
334,2019,3,Tierra Del Fuego,"6,69"
335,2019,3,Tucumán,"19,32"
336,2019,2,Buenos Aires,"22,48"
337,2019,2,Capital Federal,"30,35"
338,2019,2,Catamarca,"8,81"
339,2019,2,Chaco,"16,01"
340,2019,2,Chubut,"6,05"
341,2019,2,Córdoba,"18,43"
342,2019,2,Corrientes,"13,83"
343,2019,2,Entre Ríos,"12,19"
344,2019,2,Formosa,"10,84"
345,2019,2,Jujuy,"12,07"
346,2019,2,La Pampa,"5,49"
347,2019,2,La Rioja,"7,89"
348,2019,2,Mendoza,"6,03"
349,2019,2,Misiones,"14,5"
350,2019,2,Neuquén,"17,24"
351,2019,2,Río Negro,"11,63"
352,2019,2,Salta,"12,55"
353,2019,2,San Juan,"6,12"
354,2019,2,San Luis,"19,88"
355,2019,2,Santa Cruz,"6,01"
356,2019,2,Santa Fe,"15,07"
357,2019,2,Santiago Del Estero,"7,1"
358,2019,2,Tierra Del Fuego,"6,34"
359,2019,2,Tucumán,"18,53"
360,2019,1,Buenos Aires,"19,64"
361,2019,1,Capital Federal,"24,72"
362,2019,1,Catamarca,"7,96"
363,2019,1,Chaco,"13,44"
364,2019,1,Chubut,"5,89"
365,2019,1,Córdoba,"15,73"
366,2019,1,Corrientes,"12,05"
367,2019,1,Entre Ríos,"10,66"
368,2019,1,Formosa,"9,83"
369,2019,1,Jujuy,"8,56"
370,2019,1,La Pampa,"5,06"
371,2019,1,La Rioja,"7,09"
372,2019,1,Mendoza,"5,74"
373,2019,1,Misiones,"12,51"
374,2019,1,Neuquén,"15,88"
375,2019,1,Río Negro,"10,49"
376,2019,1,Salta,"10,38"
377,2019,1,San Juan,"5,84"
378,2019,1,San Luis,"8,71"
379,2019,1,Santa Cruz,"5,78"
380,2019,1,Santa Fe,"12,99"
381,2019,1,Santiago Del Estero,"6,42"
382,2019,1,Tierra Del Fuego,"6,34"
383,2019,1,Tucumán,"16,57"
384,2018,4,Buenos Aires,"16,93"
385,2018,4,Capital Federal,"22,94"
386,2018,4,Catamarca,"8,04"
387,2018,4,Chaco,"13,49"
388,2018,4,Chubut,"6,09"
389,2018,4,Córdoba,"15,81"
390,2018,4,Corrientes,"12,14"
391,2018,4,Entre Ríos,"11,02"
392,2018,4,Formosa,"9,82"
393,2018,4,Jujuy,"8,56"
394,2018,4,La Pampa,"4,32"
395,2018,4,La Rioja,"7,09"
396,2018,4,Mendoza,"5,75"
397,2018,4,Misiones,"12,5"
398,2018,4,Neuquén,"15,89"
399,2018,4,Río Negro,"10,49"
400,2018,4,Salta,"10,46"
401,2018,4,San Juan,"5,72"
402,2018,4,San Luis,"8,82"
403,2018,4,Santa Cruz,"5,12"
404,2018,4,Santa Fe,"13,18"
405,2018,4,Santiago Del Estero,"6,31"
406,2018,4,Tierra Del Fuego,"7,44"
407,2018,4,Tucumán,"16,58"
408,2018,3,Buenos Aires,"16,78"
409,2018,3,Capital Federal,"21,64"
410,2018,3,Catamarca,"7,81"
411,2018,3,Chaco,"12,89"
412,2018,3,Chubut,"6,08"
413,2018,3,Córdoba,"14,82"
414,2018,3,Corrientes,"11,49"
415,2018,3,Entre Ríos,"10,52"
416,2018,3,Formosa,"9,32"
417,2018,3,Jujuy,"7,67"
418,2018,3,La Pampa,"4,28"
419,2018,3,La Rioja,"6,16"
420,2018,3,Mendoza,"5,79"
421,2018,3,Misiones,"12,49"
422,2018,3,Neuquén,"14,67"
423,2018,3,Río Negro,"10,06"
424,2018,3,Salta,"9,27"
425,2018,3,San Juan,"5,74"
426,2018,3,San Luis,"8,81"
427,2018,3,Santa Cruz,"5,37"
428,2018,3,Santa Fe,"12,36"
429,2018,3,Santiago Del Estero,"5,78"
430,2018,3,Tierra Del Fuego,"5,99"
431,2018,3,Tucumán,"15,26"
432,2018,2,Buenos Aires,"14,68"
433,2018,2,Capital Federal,"18,94"
434,2018,2,Catamarca,"7,69"
435,2018,2,Chaco,"12,5"
436,2018,2,Chubut,"5,33"
437,2018,2,Córdoba,"13,88"
438,2018,2,Corrientes,"10,88"
439,2018,2,Entre Ríos,"10,19"
440,2018,2,Formosa,"8,97"
441,2018,2,Jujuy,"6,29"
442,2018,2,La Pampa,"4,1"
443,2018,2,La Rioja,"5,59"
444,2018,2,Mendoza,"5,88"
445,2018,2,Misiones,"11,76"
446,2018,2,Neuquén,"13,37"
447,2018,2,Río Negro,"9,51"
448,2018,2,Salta,"8,93"
449,2018,2,San Juan,"5,85"
450,2018,2,San Luis,"5,9"
451,2018,2,Santa Cruz,"5,19"
452,2018,2,Santa Fe,"11,75"
453,2018,2,Santiago Del Estero,"5,91"
454,2018,2,Tierra Del Fuego,"5,94"
455,2018,2,Tucumán,"13,51"
456,2018,1,Buenos Aires,"14,2"
457,2018,1,Capital Federal,"17,75"
458,2018,1,Catamarca,"8,2"
459,2018,1,Chaco,"12,44"
460,2018,1,Chubut,"5,42"
461,2018,1,Córdoba,"12,79"
462,2018,1,Corrientes,"11,12"
463,2018,1,Entre Ríos,"9,88"
464,2018,1,Formosa,"11,06"
465,2018,1,Jujuy,"6,74"
466,2018,1,La Pampa,"4,0"
467,2018,1,La Rioja,"5,89"
468,2018,1,Mendoza,"5,88"
469,2018,1,Misiones,"12,08"
470,2018,1,Neuquén,"11,96"
471,2018,1,Río Negro,"8,98"
472,2018,1,Salta,"9,19"
473,2018,1,San Juan,"5,85"
474,2018,1,San Luis,"5,89"
475,2018,1,Santa Cruz,"5,19"
476,2018,1,Santa Fe,"11,17"
477,2018,1,Santiago Del Estero,"6,25"
478,2018,1,Tierra Del Fuego,"5,77"
479,2018,1,Tucumán,"9,36"
480,2017,4,Buenos Aires,"12,97"
481,2017,4,Capital Federal,"15,2"
482,2017,4,Catamarca,"7,78"
483,2017,4,Chaco,"11,7"
484,2017,4,Chubut,"5,41"
485,2017,4,Córdoba,"11,64"
486,2017,4,Corrientes,"10,38"
487,2017,4,Entre Ríos,"9,3"
488,2017,4,Formosa,"10,11"
489,2017,4,Jujuy,"6,64"
490,2017,4,La Pampa,"3,98"
491,2017,4,La Rioja,"5,88"
492,2017,4,Mendoza,"5,71"
493,2017,4,Misiones,"11,32"
494,2017,4,Neuquén,"10,72"
495,2017,4,Río Negro,"8,05"
496,2017,4,Salta,"8,45"
497,2017,4,San Juan,"5,83"
498,2017,4,San Luis,"5,73"
499,2017,4,Santa Cruz,"5,21"
