HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total_x,año_trimestre_provincia,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_y
1246,8913,24181,4359,602,0,0,39301,2014-4-Santiago Del Estero,2014,4,Santiago Del Estero,34110.0,4231.0,19.0,920.0,37.0,39317.0
12,283,31489,2,0,0,0,31786,2014-4-Tierra Del Fuego,2014,4,Tierra Del Fuego,21948.0,3664.0,655.0,1.0,2722.0,28990.0
17,28746,85091,20631,2733,196,0,137414,2014-4-Tucumán,2014,4,Tucumán,137093.0,97.0,116.0,13.0,105.0,137424.0
7355,128186,2281523,156693,68946,243,4232,2647180,2014-3-Buenos Aires,2014,3,Buenos Aires,1562533.0,1110628.0,124474.0,20049.0,31881.0,2849565.0
840,78016,1060145,102169,70907,94,6626,1318799,2014-3-Capital Federal,2014,3,Capital Federal,450155.0,833402.0,17886.0,1995.0,14387.0,1317825.0
19,8845,13790,1915,111,0,0,24680,2014-3-Catamarca,2014,3,Catamarca,24380.0,244.0,15.0,0.0,47.0,24686.0
398,14731,41934,5428,1274,5,0,63770,2014-3-Chaco,2014,3,Chaco,53321.0,10336.0,29.0,1.0,59.0,63746.0
2013,6281,60771,34,0,0,0,69099,2014-3-Chubut,2014,3,Chubut,49219.0,668.0,882.0,11853.0,6515.0,69137.0
660,98992,435692,28992,18888,84,664,583972,2014-3-Córdoba,2014,3,Córdoba,340212.0,240334.0,444.0,4064.0,377.0,585431.0
21,15448,41717,5181,1172,0,0,63539,2014-3-Corrientes,2014,3,Corrientes,52957.0,9184.0,31.0,1312.0,65.0,63549.0
1709,29710,91450,12569,1310,0,48,136796,2014-3-Entre Ríos,2014,3,Entre Ríos,108907.0,22440.0,48.0,5203.0,135.0,136733.0
2001,8323,14202,1324,85,0,0,25935,2014-3-Formosa,2014,3,Formosa,21021.0,4836.0,0.0,0.0,80.0,25937.0
127,10979,20216,2305,82,0,0,33709,2014-3-Jujuy,2014,3,Jujuy,30128.0,3541.0,22.0,37.0,13.0,33741.0
6458,6645,41009,24,5,4,10,54155,2014-3-La Pampa,2014,3,La Pampa,16051.0,33940.0,538.0,11219.0,677.0,62425.0
10,4785,9720,1337,61,0,0,15913,2014-3-La Rioja,2014,3,La Rioja,15864.0,0.0,14.0,1.0,37.0,15916.0
35,0,167763,31,12,13,1,167855,2014-3-Mendoza,2014,3,Mendoza,150120.0,13030.0,2512.0,40.0,2222.0,167924.0
